model,train_alpha,score_type,mean_score,std_score,q95,q99
GAT_h16_l4_head1_a0.1,0.1,country_score,0.7891561388969421,0.2659444808959961,0.9992486238479614,0.9997720122337341
GAT_h16_l4_head1_a0.3,0.3,combined_score,0.9676822423934937,0.5897643566131592,2.0786643028259277,2.659176826477051
GAT_h16_l4_head1_a0.3,0.3,population_error,1.0779367685317993,0.9431653618812561,2.85209321975708,3.8691940307617188
GAT_h16_l4_head1_a0.3,0.3,country_score,0.8023004531860352,0.24133676290512085,0.9991251826286316,0.999660313129425
GAT_h16_l4_head1_a0.5,0.5,combined_score,1.0812127590179443,0.604560136795044,2.358595371246338,2.6839492321014404
GAT_h16_l4_head1_a0.5,0.5,population_error,1.2520112991333008,0.9614556431770325,3.2805802822113037,3.9440011978149414
GAT_h16_l4_head1_a0.5,0.5,country_score,0.8250148296356201,0.2614792585372925,0.999165415763855,0.999829113483429
GAT_h16_l4_head1_a0.7,0.7,combined_score,1.1119428873062134,0.5862590670585632,2.301027536392212,2.7078018188476562
GAT_h16_l4_head1_a0.7,0.7,population_error,1.2711318731307983,0.9507631659507751,3.201704740524292,3.883437156677246
GAT_h16_l4_head1_a0.7,0.7,country_score,0.8731594085693359,0.1772194355726242,0.9989515542984009,0.9996845126152039
GAT_h16_l4_head1_a0.9,0.9,combined_score,0.8386570811271667,0.5772835612297058,2.219442844390869,2.767374277114868
GAT_h16_l4_head1_a0.9,0.9,population_error,0.8050290942192078,0.9351246356964111,3.0667617321014404,3.9484262466430664
GAT_h16_l4_head1_a0.9,0.9,country_score,0.8890989422798157,0.1574329286813736,0.9985031485557556,0.9991465210914612
GAT_h16_l4_head2_a0.1,0.1,combined_score,0.8797124028205872,0.617477297782898,2.1752307415008545,2.7951881885528564
